OID_;ID;ADRCD;SUBCD;LandID;Land;BezirkID;Bezirk;ArtLang;NameLang;Plz;Ort;Strasse;Hnr;Telefon;IntVorwahl;NatVorwahl;TelefonNummer;Durchwahl;FaxDurchwahl;EMailAdresse;X;Y
18;483;7221956;001;1;Burgenland;105;Jennersdorf;Polizeiinspektion;Königsdorf;7563;Königsdorf;Grazer Straße;6;+43 59133 1214 100;+43;59133;1214;100;109;PI-B-Koenigsdorf@polizei.gv.at;16,178833010000002;47,013076779999999
19;485;5186954;001;1;Burgenland;105;Jennersdorf;Polizeiinspektion;Minihof-Liebau;8384;Minihof-Liebau;Minihof-Liebau;6;+43 59133 1213 100;+43;59133;1213;100;109;PI-B-Minihof-Liebau@polizei.gv.at;16,074213040000000;46,882450110000001
20;488;5191160;001;1;Burgenland;106;Mattersburg;Polizeiinspektion;Forchtenstein;7212;Forchtenstein;Hauptstraße;52;+43 59133 1121 100;+43;59133;1121;100;109;PI-B-Forchtenstein@polizei.gv.at;16,344094960000000;47,710895340000000
21;489;5194786;001;1;Burgenland;106;Mattersburg;Bezirkspolizeikommando;Mattersburg;7210;Mattersburg;Martinsplatz;8;+43 59133 1120 305;+43;59133;1120;305;309;BPK-B-Mattersburg@polizei.gv.at;16,397262410000000;47,737359030000000
22;491;7307710;001;1;Burgenland;106;Mattersburg;Autobahnpolizeiinspektion;Mattersburg;7210;Mattersburg;Forchtenauerstraße;99;+43 59133 1122 200;+43;59133;1122;200;209;API-B-Mattersburg@polizei.gv.at;16,377922060000000;47,720249180000003
23;492;7380724;001;1;Burgenland;106;Mattersburg;Polizeiinspektion;Neudörfl an der Leitha;7201;Neudörfl an der Leitha;Hauptstraße;26a;+43 59133 1123 100;+43;59133;1123;100;109;PI-B-Neudoerfl-an-der-Leitha@polizei.gv.at;16,295033879999998;47,797255030000002
24;494;7477076;001;1;Burgenland;106;Mattersburg;Polizeiinspektion;Schattendorf;7022;Schattendorf;Fabriksgasse;46;+43 59133 1125;+43;59133;1125;;209;PI-B-Schattendorf@polizei.gv.at;16,513741320000001;47,710771819999998
25;496;7494594;001;1;Burgenland;106;Mattersburg;Polizeiinspektion (SB PDH);Zemendorf;7023;Zemendorf;Wiener Neustädterstraße;12;+43 59133 1128 100;+43;59133;1128;100;109;PI-B-Zemendorf@polizei.gv.at;16,449938070000002;47,763397910000002
26;501;5206960;001;1;Burgenland;107;Neusiedl am See;Polizeiinspektion (SB PDH);Frauenkirchen;7132;Frauenkirchen;Amtshausgasse;9;+43 59133 1136 100;+43;59133;1136;100;109;PI-B-Frauenkirchen@polizei.gv.at;16,926918480000001;47,837947790000001
27;502;5208157;001;1;Burgenland;107;Neusiedl am See;Polizeiinspektion;Gattendorf;2474;Gattendorf;Hauptplatz;4;+43 59133 1137 100;+43;59133;1137;100;109;PI-B-Gattendorf@polizei.gv.at;16,982086060000000;48,015093680000000
28;503;5209397;001;1;Burgenland;107;Neusiedl am See;Polizeiinspektion;Gols;7122;Gols;Untere Hauptstraße;10;+43 59133 1138 100;+43;59133;1138;100;109;PI-B-Gols@polizei.gv.at;16,910008730000001;47,897008180000000
29;504;5210275;001;1;Burgenland;107;Neusiedl am See;Polizeiinspektion;Halbturn;7131;Halbturn;Wiener Straße;3;+43 59133 1139 100;+43;59133;1139;100;109;PI-B-Halbturn@polizei.gv.at;16,972495280000000;47,871682720000003
30;505;7432370;001;1;Burgenland;107;Neusiedl am See;Polizeiinspektion;Apetlon;7143;Apetlon;Kirchengasse;3;+43 59133 1141 100;+43;59133;1141;100;109;PI-B-Apetlon@polizei.gv.at;16,831099150000000;47,742799929999997
31;509;5214764;001;1;Burgenland;107;Neusiedl am See;Bezirkspolizeikommando;Neusiedl am See;7100;Neusiedl am See;Untere Hauptstraße;49;+43 59133 1130 305;+43;59133;1130;305;309;BPK-B-Neusiedl-am-See@polizei.gv.at;16,847675590000001;47,945969249999997
32;516;7201009;001;1;Burgenland;107;Neusiedl am See;Polizeiinspektion (FGP-SB);Pamhagen (FGP-SB);7152;Pamhagen;Bahnstraße;44;+43 59133 1147 100;+43;59133;1147;100;109;PI-B-Pamhagen@polizei.gv.at;16,901893619999999;47,703376769999998
33;517;5217817;001;1;Burgenland;107;Neusiedl am See;Polizeiinspektion;Parndorf;7111;Parndorf;Neusiedlerstraße;1;+43 59133 1148 100;+43;59133;1148;100;109;PI-B-Parndorf@polizei.gv.at;16,858147819999999;47,992497630000003
34;518;7019095;001;1;Burgenland;107;Neusiedl am See;Autobahnpolizeiinspektion;Potzneusiedl;2473;Potzneusiedl;Siedlung;37;+43 59133 1149 200;+43;59133;1149;200;209;API-B-Potzneusiedl@polizei.gv.at;16,947293830000000;48,039973420000003
35;519;5218641;002;1;Burgenland;107;Neusiedl am See;Polizeiinspektion;Podersdorf am See-Seedienst;7141;Podersdorf am See;Neusiedler Straße;9-11;+43 59133 1151 100;+43;59133;1151;100;109;PI-B-Podersdorf@polizei.gv.at;16,838374959999999;47,855334929999998
36;521;5225000;001;1;Burgenland;108;Oberpullendorf;Polizeiinspektion;Deutschkreutz;7301;Deutschkreutz;Hauptstraße;79;+43 59133 1221 100;+43;59133;1221;100;109;PI-B-Deutschkreutz@polizei.gv.at;16,627441409999999;47,598068240000003
37;525;5228957;001;1;Burgenland;108;Oberpullendorf;Polizeiinspektion;Kobersdorf;7332;Kobersdorf;Hauptstraße;33;+43 59133 1226 100;+43;59133;1226;100;109;PI-B-Kobersdorf@polizei.gv.at;16,394024250000001;47,594621689999997
38;527;5230425;001;1;Burgenland;108;Oberpullendorf;Polizeiinspektion;Lockenhaus;7442;Lockenhaus;Hauptplatz;10;+43 59133 1229 100;+43;59133;1229;100;109;PI-B-Lockenhaus@polizei.gv.at;16,417804400000001;47,406496060000002
39;529;5235486;001;1;Burgenland;108;Oberpullendorf;Bezirkspolizeikommando;Oberpullendorf;7350;Oberpullendorf;Hauptstraße;7;+43 59133 1220 305;+43;59133;1220;305;309;BPK-B-Oberpullendorf@polizei.gv.at;16,505232199999998;47,501810919999997
40;533;5241249;002;1;Burgenland;109;Oberwart;Polizeiinspektion;Bad Tatzmannsdorf;7431;Bad Tatzmannsdorf;Joseph-Haydn-Platz;3;+43 59133 1241 100;+43;59133;1241;100;109;PI-B-Bad-Tatzmannsdorf@polizei.gv.at;16,230096820000000;47,332378390000002
41;534;5241850;001;1;Burgenland;109;Oberwart;Polizeiinspektion (SB PDH);Bernstein;7434;Bernstein;Hauptstraße;79;+43 59133 1242 100;+43;59133;1242;100;109;PI-B-Bernstein@polizei.gv.at;16,263107309999999;47,408458709999998
42;536;7337365;001;1;Burgenland;109;Oberwart;Polizeiinspektion;Großpetersdorf;7503;Großpetersdorf;Ungarnstraße;19;+43 59133 1244 100;+43;59133;1244;100;109;PI-B-Grosspetersdorf@polizei.gv.at;16,325110299999999;47,242394200000000
43;538;5247046;001;1;Burgenland;109;Oberwart;Polizeiinspektion;Litzelsdorf;7532;Litzelsdorf;Marktplatz;1;+43 59133 1246 100;+43;59133;1246;100;109;PI-B-Litzelsdorf@polizei.gv.at;16,163877490000001;47,208480840000000
44;540;5251469;001;1;Burgenland;109;Oberwart;Bezirkspolizeikommando;Oberwart;7400;Oberwart;Bahnhofstraße;4;+43 59133 1240 305;+43;59133;1240;305;309;BPK-B-Oberwart@polizei.gv.at;16,212627420000000;47,289806370000001
45;543;5252676;001;1;Burgenland;109;Oberwart;Autobahnpolizeiinspektion;Oberwart;7400;Oberwart;Steinamangerer-Straße;130;+43 59133 1249 200;+43;59133;1249;200;209;API-B-Oberwart@polizei.gv.at;16,226877219999999;47,277427680000002
46;544;5254150;001;1;Burgenland;109;Oberwart;Polizeiinspektion;Pinkafeld;7423;Pinkafeld;Meierhofplatz;4;+43 59133 1251;+43;59133;1251;;109;PI-B-Pinkafeld@polizei.gv.at;16,121444709999999;47,366424559999999
47;546;5255232;001;1;Burgenland;109;Oberwart;Polizeiinspektion;Rechnitz;7471;Rechnitz;Hauptplatz;18;+43 59133 1253 100;+43;59133;1253;100;209;PI-B-Rechnitz@polizei.gv.at;16,440400000000000;47,304499999999997
48;1;6140516;001;2;Kärnten;207;Villach (Land);Polizeiinspektion;Velden am Wörther See-Seedienst;9220;Velden am Wörther See;10.-Oktober-Straße;3;+43 59133 2259 100;+43;59133;2259;100;109;PI-K-Velden-am-Woerthersee@polizei.gv.at;14,037760459999999;46,613170560000000
49;4;6052437;001;2;Kärnten;202;Villach (Stadt);Stadtpolizeikommando;Villach;9500;Villach;Trattengasse;34;+43 59133 2290 100;+43;59133;2290;100;;SPK-K-Villach@polizei.gv.at;13,855529790000000;46,610595709999998
50;6;6057488;001;2;Kärnten;202;Villach (Stadt);Polizeiinspektion;Villach-Auen;9500;Villach;Kärntner Straße;34;+43 59133 2291 100;+43;59133;2291;100;109;PI-K-Villach-Auen@polizei.gv.at;13,837618230000000;46,596167199999996
51;7;6047161;001;2;Kärnten;202;Villach (Stadt);Polizeiinspektion;Villach-Hauptplatz;9500;Villach;Ankershofengasse;3;+43 59133 2292 100;+43;59133;2292;100;109;PI-K-Villach-Hauptplatz@polizei.gv.at;13,847888169999999;46,613916130000000
52;8;6055448;001;2;Kärnten;202;Villach (Stadt);Polizeiinspektion;Villach-Landskron;9500;Villach;Landskroner Siedlerstraße;4;+43 59133 2293 100;+43;59133;2293;100;109;PI-K-Villach-Landskron@polizei.gv.at;13,880300000000000;46,630000000000003
53;9;7338864;001;2;Kärnten;202;Villach (Stadt);Polizeiinspektion;Villach-Neufellach;9500;Villach;Energiestraße;3;+43 59133 2294 100;+43;59133;2294;100;109;PI-K-Villach-Neufellach@polizei.gv.at;13,829278329999999;46,630873690000001
54;12;6052437;001;2;Kärnten;202;Villach (Stadt);Verkehrsinspektion;Villach;9500;Villach;Trattengasse;34;+43 59133 2290 440;+43;59133;2290;440;;VI-K-Villach@polizei.gv.at;13,855529790000000;46,610595709999998
55;13;6148536;001;2;Kärnten;208;Völkermarkt;Polizeiinspektion;Bad Eisenkappel;9135;Bad Eisenkappel;Bad Eisenkappel;186;+43 59133 2145 200;+43;59133;2145;200;209;PI-K-Bad-Eisenkappel@polizei.gv.at;14,592700000000001;46,484099999999998
56;15;6144890;001;2;Kärnten;208;Völkermarkt;Polizeiinspektion;Bleiburg;9150;Bleiburg;10. Oktober Platz;38;+43 59133 2142 100;+43;59133;2142;100;109;PI-K-Bleiburg@polizei.gv.at;14,797003750000000;46,590232850000000
57;17;6146301;001;2;Kärnten;208;Völkermarkt;Polizeiinspektion;Eberndorf;9141;Eberndorf;Kreuzberglweg;3;+43 59133 2143 100;+43;59133;2143;100;109;PI-K-Eberndorf@polizei.gv.at;14,642517099999999;46,590888980000003
58;20;6151417;001;2;Kärnten;208;Völkermarkt;Polizeiinspektion;Griffen;9112;Griffen;Hauptplatz;24;+43 59133 2149 100;+43;59133;2149;100;109;PI-K-Griffen@polizei.gv.at;14,728814390000000;46,703338520000003
59;660;5528156;001;4;Oberösterreich;415;Steyr (Land);Polizeiinspektion;Weyer an der Enns;3335;Weyer an der Enns;Marktplatz;11;+43 59133 4156 100;+43;59133;4156;100;109;PI-O-Weyer@polizei.gv.at;14,664569860000000;47,857967379999998
60;661;5528860;001;4;Oberösterreich;415;Steyr (Land);Polizeiinspektion;Wolfern;4493;Wolfern;Kirchenplatz;9;+43 59133 4157 100;+43;59133;4157;100;109;PI-O-Wolfern@polizei.gv.at;14,378200000000000;48,082999999999998
61;662;5284664;001;4;Oberösterreich;402;Steyr (Stadt);Stadtpolizeikommando;Steyr;4400;Steyr ;Berggasse;2;+43 59133 4140 100;+43;59133;4140;100;;SPK-O-Steyr@polizei.gv.at;14,419126520000001;48,041610720000001
62;664;5286159;001;4;Oberösterreich;402;Steyr (Stadt);Polizeiinspektion;Steyr-Münichholz;4400;Steyr ;Hans-Wagnerstraße;2-4;+43 59133 4145 100;+43;59133;4145;100;109;PI-O-Steyr-Muenichholz@polizei.gv.at;14,441363340000001;48,052680969999997
63;665;5289335;001;4;Oberösterreich;402;Steyr (Stadt);Polizeiinspektion;Steyr-Stadtplatz;4400;Steyr ;Stadtplatz;20-22;+43 59133 4146 110;+43;59133;4146;110;109;PI-O-Steyr-Stadtplatz@polizei.gv.at;14,419243820000000;48,039531709999999
64;668;5532055;001;4;Oberösterreich;416;Urfahr-Umgebung;Polizeiinspektion;Bad Leonfelden;4190;Bad Leonfelden;Linzer Straße;26;+43 59133 4331 100;+43;59133;4331;100;109;PI-O-Bad-Leonfelden@polizei.gv.at;14,295233730000000;48,519317630000003
65;671;5537483;001;4;Oberösterreich;416;Urfahr-Umgebung;Bezirkspolizeikommando;Urfahr;4210;Gallneukirchen;Linzer Straße;6;+43 59133 4330 305;+43;59133;4330;305;309;BPK-O-Urfahr-Umgebung@polizei.gv.at;14,412611020000000;48,351113269999999
66;672;5538827;001;4;Oberösterreich;416;Urfahr-Umgebung;Polizeiinspektion;Gramastetten;4201;Gramastetten;Rodltalstraße;12;+43 59133 4334 100;+43;59133;4334;100;109;PI-O-Gramastetten@polizei.gv.at;14,191200000000000;48,382100000000001
67;673;5540305;001;4;Oberösterreich;416;Urfahr-Umgebung;Polizeiinspektion;Hellmonsödt;4202;Hellmonsödt;Marktplatz;1;+43 59133 4335 100;+43;59133;4335;100;109;PI-O-Hellmonsoedt@polizei.gv.at;14,300468450000000;48,431327820000000
68;675;5544165;001;4;Oberösterreich;416;Urfahr-Umgebung;Polizeiinspektion;Ottensheim;4100;Ottensheim;Bahnhofstraße;7;+43 59133 4337 100;+43;59133;4337;100;109;PI-O-Ottensheim@polizei.gv.at;14,175386430000000;48,333301550000002
69;676;5546094;002;4;Oberösterreich;416;Urfahr-Umgebung;Polizeiinspektion;Puchenau;4048;Puchenau;Wilheringerstraße;14;+43 59133 4338 100;+43;59133;4338;100;109;PI-O-Puchenau@polizei.gv.at;14,243600000000001;48,311500000000002
70;677;7297111;001;4;Oberösterreich;416;Urfahr-Umgebung;Polizeiinspektion;Steyregg;4221;Steyregg;Linzer Straße;16 H;+43 59133 4339 100;+43;59133;4339;100;109;PI-O-Steyregg@polizei.gv.at;14,364652080000001;48,282045289999999
71;678;5551994;001;4;Oberösterreich;417;Vöcklabruck;Polizeiinspektion;Ampflwang im Hausruckwald;4843;Ampflwang im Hausruckwald;Hausruckstraße;12;+43 59133 4161 100;+43;59133;4161;100;109;PI-O-Ampflwang@polizei.gv.at;13,566879280000000;48,093517310000003
72;679;5554728;003;4;Oberösterreich;417;Vöcklabruck;Polizeiinspektion;Attnang-Puchheim;4800;Attnang-Puchheim;Römerstraße;48-50;+43 59133 4163 100;+43;59133;4163;100;109;PI-O-Attnang-Puchheim@polizei.gv.at;13,724425320000000;48,011203770000002
73;681;5559144;001;4;Oberösterreich;417;Vöcklabruck;Polizeiinspektion;Frankenmarkt;4890;Frankenmarkt;Hauptstraße;126;+43 59133 4165 100;+43;59133;4165;100;109;PI-O-Frankenmarkt@polizei.gv.at;13,416444550000000;47,985129610000001
74;682;5561040;001;4;Oberösterreich;417;Vöcklabruck;Polizeiinspektion;Lenzing;4860;Lenzing;Atterseestraße;20;+43 59133 4166 100;+43;59133;4166;100;109;PI-O-Lenzing@polizei.gv.at;13,611421590000001;47,979339600000003
75;683;5562386;001;4;Oberösterreich;417;Vöcklabruck;Polizeiinspektion;Mondsee-Seedienst;5310;Mondsee;Am Moos;619;+43 59133 4167 100;+43;59133;4167;100;109;PI-O-Mondsee@polizei.gv.at;13,328487000000001;47,865588109999997
76;685;5574133;001;4;Oberösterreich;417;Vöcklabruck;Polizeiinspektion;Schörfling am Attersee-Seedienst;4861;Schörfling am Attersee;Hauptstraße;19;+43 59133 4171 100;+43;59133;4171;100;109;PI-O-Schoerfling@polizei.gv.at;13,594800950000000;47,945648200000001
77;686;7598679;000;4;Oberösterreich;417;Vöcklabruck;Polizeiinspektion;Schwanenstadt;4690;Schwanenstadt;Freizeitpark;5;+43 59133 4172 100;+43;59133;4172;100;109;PI-O-Schwanenstadt@polizei.gv.at;13,783300000000001;48,050699999999999
78;687;7221870;001;4;Oberösterreich;417;Vöcklabruck;Autobahnpolizeiinspektion;Seewalchen am Attersee;4863;Seewalchen am Attersee;Atterseestraße;1;+43 59133 4173 200;+43;59133;4173;200;209;API-O-Seewalchen@polizei.gv.at;13,598106390000000;47,953269960000000
79;690;5580254;001;4;Oberösterreich;417;Vöcklabruck;Polizeiinspektion;Timelkam;4850;Timelkam;Pichlwanger Straße;13;+43 59133 4176 100;+43;59133;4176;100;109;PI-O-Timelkam@polizei.gv.at;13,612072000000000;48,001064300000003
80;691;5581557;001;4;Oberösterreich;417;Vöcklabruck;Polizeiinspektion;Unterach am Attersee-Seedienst;4866;Unterach am Attersee;Hauptstraße;9;+43 59133 4177 100;+43;59133;4177;100;109;PI-O-Unterach@polizei.gv.at;13,487441069999999;47,804069519999999
81;692;7221628;001;4;Oberösterreich;417;Vöcklabruck;Bezirkspolizeikommando;Vöcklabruck;4840;Vöcklabruck;Salzburger Straße;15;+43 59133 4160 305;+43;59133;4160;305;309;BPK-O-Voecklabruck@polizei.gv.at;13,650865560000000;48,007675169999999
82;694;5584627;001;4;Oberösterreich;417;Vöcklabruck;Polizeiinspektion;Vöcklamarkt;4870;Vöcklamarkt;Dr.-Scheiber-Straße;8;+43 59133 4178 100;+43;59133;4178;100;109;PI-O-Voecklamarkt@polizei.gv.at;13,487116820000001;48,001735689999997
83;695;5295759;001;4;Oberösterreich;403;Wels (Stadt);Autobahnpolizeiinspektion;Wels;4603;Wels;Oberfeldstraße;139;+43 59133 4188 200;+43;59133;4188;200;209;API-O-Wels@polizei.gv.at;14,023547180000000;48,184108739999999
84;696;7306904;001;4;Oberösterreich;418;Wels (Land);Polizeiinspektion;Gunskirchen;4623;Gunskirchen;Welser Straße;3;+43 59133 4181 100;+43;59133;4181;100;109;PI-O-Gunskirchen@polizei.gv.at;13,941120079999999;48,133909850000002
85;697;5594290;001;4;Oberösterreich;418;Wels (Land);Polizeiinspektion;Krenglbach;4631;Krenglbach;Krenglbacherstraße;7;+43 59133 4182 100;+43;59133;4182;100;109;PI-O-Krenglbach@polizei.gv.at;13,955553060000000;48,205028540000001
86;698;5595328;001;4;Oberösterreich;418;Wels (Land);Polizeiinspektion;Lambach;4650;Lambach;Vilma-Eckl-Straße;2;+43 59133 4183 100;+43;59133;4183;100;109;PI-O-Lambach@polizei.gv.at;13,868000990000001;48,092285160000003
87;700;5596727;001;4;Oberösterreich;418;Wels (Land);Bezirkspolizeikommando;Wels-Land;4614;Marchtrenk;Linzer Straße;21;+43 59133 4180 305;+43;59133;4180;305;309;BPK-O-Wels-Land@polizei.gv.at;14,115105399999999;48,191006600000001
88;701;5600602;001;4;Oberösterreich;418;Wels (Land);Polizeiinspektion;Sattledt;4642;Sattledt;Hauptstraße;39;+43 59133 4184 100;+43;59133;4184;100;109;PI-O-Sattledt@polizei.gv.at;14,059978490000001;48,073623660000003
89;703;5604614;001;4;Oberösterreich;418;Wels (Land);Polizeiinspektion;Thalheim bei Wels;4609;Thalheim bei Wels;Raiffeisenstraße;3;+43 59133 4187 100;+43;59133;4187;100;109;PI-O-Thalheim@polizei.gv.at;14,031573300000000;48,153564459999998
90;704;5291852;001;4;Oberösterreich;403;Wels (Stadt);Stadtpolizeikommando;Wels;4601;Wels;Dragonerstraße;29;+43 59133 4190;+43;59133;4190;;;SPK-O-Wels@polizei.gv.at;14,013715140000000;48,156474099999997
91;706;5294124;002;4;Oberösterreich;403;Wels (Stadt);Polizeiinspektion;Wels-Innere Stadt;4601;Wels;Kaiser-Josef-Platz;50;+43 59133 4192 100;+43;59133;4192;100;109;PI-O-Wels-Innere-stadt@polizei.gv.at;14,023999999999999;48,159999999999997
92;707;7379266;001;4;Oberösterreich;403;Wels (Stadt);Polizeiinspektion;Wels-Neustadt;4601;Wels;Oberfeldstraße;56;+43 59133 4193;+43;59133;4193;;839;PI-O-Wels-Neustadt@polizei.gv.at;14,003914549999999;48,174764570000001
93;708;5295122;001;4;Oberösterreich;403;Wels (Stadt);Polizeiinspektion;Wels-Pernau;4601;Wels;Linzer Straße;155b;+43 59133 4194;+43;59133;4194;;849;PI-O-Wels-Pernau@polizei.gv.at;14,048739480000000;48,168625939999998
94;710;5291852;001;4;Oberösterreich;403;Wels (Stadt);Polizeiinspektion;Wels-Sonderdienste;4601;Wels;Dragonerstraße;29;+43 7242 408 570;+43;7242;408;570;109;PI-O-Wels-Sonderdienste@polizei.gv.at;14,013715140000000;48,156474099999997
95;907;5627279;001;5;Salzburg;502;Hallein;Polizeiinspektion;Abtenau;5441;Abtenau;Markt;73;+43 59133 5101;+43;59133;5101;;109;PI-S-Abtenau@polizei.gv.at;13,346029290000001;47,563461310000001
96;909;5630508;001;5;Salzburg;502;Hallein;Polizeiinspektion;Golling an der Salzach;5440;Golling an der Salzach;Markt;27;+43 59133 5104;+43;59133;5104;;109;PI-S-Golling@polizei.gv.at;13,168304450000001;47,599823000000001
97;910;5633667;001;5;Salzburg;502;Hallein;Bezirkspolizeikommando;Hallein;5400;Hallein;Dr.-Adolf-Schärf-Platz;1;+43 59133 5100 305;+43;59133;5100;305;309;BPK-S-Hallein@polizei.gv.at;13,098012460000000;47,684413309999996
98;913;5606779;001;5;Salzburg;501;Salzburg (Stadt);Landespolizeidirektion;Salzburg;5020;Salzburg;Alpenstraße;90;+43 59133 50;+43;59133;50;;;LPD-S@polizei.gv.at;13,067235950000001;47,778846750000000
99;922;5610493;001;5;Salzburg;501;Salzburg (Stadt);Stadtpolizeikommando;Salzburg;5020;Salzburg;Franz-Hinterholzer-Kai;4;+43 59133 55;+43;59133;55;;;SPK-S-Salzburg@polizei.gv.at;13,060234070000000;47,793914800000003
100;924;5606778;001;5;Salzburg;501;Salzburg (Stadt);Polizeiinspektion;Salzburg-Alpenstraße;5020;Salzburg;Alpenstraße;88;+43 59133 5581 100;+43;59133;5581;100;109;PI-S-Salzburg-Alpenstrasse@polizei.gv.at;13,067217830000001;47,779781350000000
101;925;5614417;001;5;Salzburg;501;Salzburg (Stadt);Grenzpolizeiinspektion (GREKO);Salzburg-Flughafen;5020;Salzburg;Innsbrucker Bundesstraße;95;+43 59133 5583 100;+43;59133;5583;100;109;PI-S-Salzburg-Flughafen@polizei.gv.at;12,997671000000000;47,793832000000002
102;926;5624172;001;5;Salzburg;501;Salzburg (Stadt);Polizeiinspektion;Salzburg-Bahnhof;5020;Salzburg;Südtiroler Platz;3;+43 59133 5582 100;+43;59133;5582;100;109;PI-S-Salzburg-Bahnhof@polizei.gv.at;13,043484670000000;47,812855820000003
